,PRICES,PRICE:
0,$20.00,"$20.00
      
"
1,$20.00,"$20.00
      
"
2,old out,"$20.00
      
"
3,$20.00,"$20.00
      
"
4,$20.00,"$20.00
      
"
5,$20.00,"$20.00
      
"
6,$20.00,"$20.00
      
"
7,$20.00,"$20.00
      
"
8,$20.00,"$20.00
      
"
9,$20.00,"$20.00
      
"
10,$20.00,"$20.00
      
"
11,$20.00,"$20.00
      
"
12,$20.00,"$20.00
      
"
13,$20.00,"$20.00
      
"
14,$20.00,"$20.00
      
"
15,$20.00,"$20.00
      
"
16,$20.00,"$20.00
      
"
17,$20.00,"$20.00
      
"
18,$20.00,"$20.00
      
"
19,$20.00,"$20.00
      
"
20,$20.00,"$20.00
      
"
21,$20.00,"$20.00
      
"
22,$20.00,"$20.00
      
"
23,$20.00,"$20.00
      
"
24,$20.00,"$20.00
      
"
25,$20.00,"$20.00
      
"
26,$20.00,"$20.00
      
"
27,$20.00,"$20.00
      
"
28,$20.00,"$20.00
      
"
29,$20.00,"$20.00
      
"
30,$20.00,"$20.00
      
"
