,DESCRIPTION:
0,Long Striped Tying Scrunchie
1,Better Than Donuts Tortoise Earrings
2,Prairie Sun
3,Saddle Shop
4,Saddle Shop Car Freshner
5,Camo Pom Pom C.C Beanie
6,Camo C.C Beanie
7,Wood Filigree Teardrop Earrings
8,To Bead Or Not To Bead In Dark Stone
9,To Bead Or Not To Bead Hoops In Natural Stone
10,Confetti Beaded Earrings In Black
11,Scarves
12,Starlet Oversized Sunglasses
13,Rhinestone Helmet Earrings
14,Don't Leave Me Earrings In Mustard
15,Confetti Beaded Earrings
16,Confetti Beaded Earrings In Tomato Red
17,Sexy Snakeskin Belt
18,Fall And Beyond Infinity Scarf In Navy
19,Wood + Stone Layered Bracelet
20,Nacho Basic Scarf In Camel
21,Nacho Basic Scarf In Fuchsia
22,Love Rose Gold Bracelet
23,Cork Chevron Pendant Necklace
24,Fall And Beyond Infinity Scarf In Camel
25,Druzy Adjustable Ring In Magenta
26,No Slouch Burgundy Beanie
27,Turquoise Heaven Pendant Necklace
28,Adorned And Delighted Scarf
29,Double Time Black Sandals
30,Mad For Plaid Blanket Scarf In Wine + Sage
31,Leather & Lace
