,DESCRIPTION:_America Yall,DESCRIPTION:_Basic Witch Graphic Tee,DESCRIPTION:_Buffalo Plaid Buffalo Tee,DESCRIPTION:_Cactus Tshirt,DESCRIPTION:_Coffee and Ducktape,DESCRIPTION:_Drink Up Grinches,DESCRIPTION:_Forever your Biggest Fan,DESCRIPTION:_GOOSE - MENS - Heather Navy Tshirt,DESCRIPTION:_Game Day Graphic Tee,DESCRIPTION:_Goose - Heather Grey  Womens T-Shirt,DESCRIPTION:_Grateful Thankful Blessed Tee,DESCRIPTION:_I Said Yes,DESCRIPTION:_I'm Full of Holiday Spirit (Its Called Vodka),DESCRIPTION:_I'm Here For The Boos Graphic Tee,DESCRIPTION:_Irish Today,DESCRIPTION:_Less Talky More Coffee Tee,DESCRIPTION:_Let's Do Brunch Embroidered Tee,DESCRIPTION:_Lets Make Fireworks,DESCRIPTION:_Maverick -- Womens Navy T-Shirt,DESCRIPTION:_PREORDER: Moose Fashion Show Graphic Tee,DESCRIPTION:_PREORDER: Reindeer Gather Here Graphic Tee,DESCRIPTION:_PREORDER: Santa's Team Graphic Tee,DESCRIPTION:_Tailgates And Touchdowns Graphic Tee,DESCRIPTION:_Target Romance Graphic Tee,DESCRIPTION:_Whiskey Makes me Frisky,DESCRIPTION:_White Christmas Tree,DESCRIPTION:_Wine Because Adulting Is Hard!,PRICE:
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99      
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99      
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.00      
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.00      
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.00      
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.00      
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25.00      
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.00      
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.00      
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.00      
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.00      
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00      
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.00      
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.00      
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.00      
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.00      
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.00      
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00      
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00      
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00      
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00      
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00      
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.00      
