,DESCRIPTION:_Blue Velvet Mock Neck Top,DESCRIPTION:_Confetti Beaded Earrings In Black,DESCRIPTION:_Eyelets  Fringe Blush Scarf,DESCRIPTION:_Grace Mock Neck Blouse In Black,DESCRIPTION:_Hot & Bothered Pencil Skirt,DESCRIPTION:_Maxed Out Black Maxi Dress,DESCRIPTION:_Onyx Opulence Sequined Dress,DESCRIPTION:_Scalloped Lace Overlay Dress,DESCRIPTION:_Sequence Of Sequins Pencil Skirt,DESCRIPTION:_Silky Satin Cami In Cayenne,DESCRIPTION:_Tiny Dots Pencil Skirt,DESCRIPTION:_Velvet Chevron Crossbody Clutch In Fuchsia,DESCRIPTION:_Versatile Elegance Black Maxi Dress,PRICE:
0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.00      
1,0,0,1,0,0,0,0,0,0,0,0,0,0,22.00      
2,0,0,0,0,0,0,0,0,0,1,0,0,0,30.00      
3,0,0,0,0,0,0,0,0,0,0,0,1,0,30.00      
4,0,0,0,0,0,0,0,0,0,0,1,0,0,32.00      
5,0,0,0,0,0,1,0,0,0,0,0,0,0,34.00      
6,0,0,0,0,1,0,0,0,0,0,0,0,0,37.00      
7,0,0,0,0,0,0,0,0,1,0,0,0,0,38.00      
8,0,0,0,1,0,0,0,0,0,0,0,0,0,38.00      
9,1,0,0,0,0,0,0,0,0,0,0,0,0,42.00      
10,0,0,0,0,0,0,1,0,0,0,0,0,0,45.00      
11,0,0,0,0,0,0,0,0,0,0,0,0,1,46.00      
12,0,0,0,0,0,0,0,1,0,0,0,0,0,54.00      
